Origen,Destino,ConexionAeropuertos
Mayotte,France,3
Mayotte,Tanzania,2
Mayotte,Mozambique,1
Reunion,France,12
Reunion,Madagascar,16
Reunion,India,2
Reunion,China,1
Reunion,Thailand,1
Reunion,Seychelles,1
Reunion,Djibouti,1
Madagascar,France,8
Madagascar,Kenya,2
Madagascar,Thailand,4
Madagascar,Ethiopia,4
Angola,France,2
Angola,Morocco,2
Angola,United Arab Emirates,4
Angola,Brazil,4
Angola,Cuba,2
Angola,Zimbabwe,1
Angola,Portugal,6
Angola,China,2
Angola,Sao Tome and Principe,2
Angola,Namibia,8
Angola,Ethiopia,4
Angola,Spain,2
Angola,Kenya,2
Angola,Mozambique,3
Angola,Gabon,2
Angola,Qatar,2
Gabon,France,2
Gabon,Morocco,2
Gabon,Ethiopia,2
Gabon,Turkey,2
Gabon,Rwanda,2
Gabon,Sao Tome and Principe,1
Gabon,Mali,1
Sao Tome and Principe,Cape Verde,2
Sao Tome and Principe,Portugal,3
Mozambique,Ethiopia,3
Mozambique,Kenya,8
Mozambique,Tanzania,2
Mozambique,Portugal,2
Mozambique,Malawi,3
Mozambique,Qatar,1
Seychelles,United Arab Emirates,8
Seychelles,Kenya,2
Seychelles,Sri Lanka,4
Seychelles,Russia,2
Seychelles,France,2
Seychelles,Ethiopia,2
Seychelles,India,1
Seychelles,Qatar,2
Seychelles,Turkey,2
Seychelles,Switzerland,2
Chad,Saudi Arabia,1
Chad,France,2
Chad,Ethiopia,2
Chad,Sudan,3
Chad,Turkey,2
Chad,Morocco,2
Chad,Kenya,1
Chad,Egypt,2
Zimbabwe,Kenya,9
Zimbabwe,Ethiopia,7
Zimbabwe,Malawi,3
Zimbabwe,Tanzania,3
Zimbabwe,Namibia,4
Zimbabwe,Rwanda,1
Malawi,Kenya,10
Malawi,Ethiopia,4
Malawi,Tanzania,4
Mali,Senegal,16
Mali,France,4
Mali,Morocco,2
Mali,Guinea,6
Mali,Ethiopia,4
Mali,Kenya,2
Mali,Mauritania,2
Mali,Portugal,2
Mali,Turkey,2
Gambia,Spain,8
Gambia,Senegal,12
Gambia,Sierra Leone,8
Gambia,Morocco,2
Gambia,Guinea-Bissau,2
Gambia,Cape Verde,3
Gambia,Liberia,3
Gambia,Turkey,2
Gambia,Guinea,2
Gambia,Portugal,2
Spain,Switzerland,143
Spain,Morocco,100
Spain,Latvia,8
Spain,Greece,16
Spain,United States,130
Spain,Senegal,20
Spain,Austria,128
Spain,France,396
Spain,Portugal,110
Spain,Mexico,20
Spain,Argentina,12
Spain,Colombia,16
Spain,Italy,307
Spain,Belarus,2
Spain,El Salvador,3
Spain,Brazil,21
Spain,China,17
Spain,Cuba,8
Spain,Qatar,13
Spain,Dominican Republic,12
Spain,United Arab Emirates,10
Spain,Bulgaria,19
Spain,Slovakia,9
Spain,Lithuania,9
Spain,Hungary,21
Spain,Malta,14
Spain,Russia,73
Spain,Jordan,8
Spain,Croatia,13
Spain,Ukraine,24
Spain,Romania,47
Spain,Czech Republic,46
Spain,Israel,15
Spain,Venezuela,10
Spain,Ecuador,12
Spain,Peru,9
Spain,Mauritania,7
Spain,Guatemala,1
Spain,Panama,4
Spain,Chile,6
Spain,Costa Rica,2
Spain,South Korea,6
Spain,Libya,2
Spain,Egypt,4
Spain,Western Sahara,9
Spain,Cape Verde,4
Spain,Bolivia,5
Spain,Turkey,18
Spain,Pakistan,5
Spain,Singapore,2
Spain,Saudi Arabia,7
Spain,Thailand,2
Spain,Uruguay,4
Spain,Moldova,2
Spain,Georgia,2
Spain,India,2
Spain,Hong Kong,4
Spain,Ethiopia,2
Spain,Japan,2
Spain,Lebanon,5
Spain,Paraguay,2
Spain,Honduras,2
Spain,Puerto Rico,3
Spain,Iran,1
Spain,Macedonia,1
Spain,Bangladesh,1
Spain,Uzbekistan,1
Sierra Leone,Senegal,4
Sierra Leone,Liberia,19
Sierra Leone,France,3
Sierra Leone,Morocco,2
Sierra Leone,Guinea,2
Guinea-Bissau,Guinea,4
Guinea-Bissau,Senegal,8
Guinea-Bissau,Morocco,2
Guinea-Bissau,Cape Verde,2
Guinea-Bissau,Portugal,2
Liberia,France,2
Liberia,Morocco,2
Liberia,Guinea,1
Morocco,Italy,49
Morocco,France,218
Morocco,Turkey,10
Morocco,Libya,10
Morocco,Western Sahara,12
Morocco,United Arab Emirates,10
Morocco,Lebanon,2
Morocco,Egypt,4
Morocco,Guinea,2
Morocco,Senegal,4
Morocco,Brazil,4
Morocco,Switzerland,14
Morocco,Saudi Arabia,16
Morocco,United States,9
Morocco,Portugal,12
Morocco,Mauritania,7
Morocco,Cape Verde,2
Morocco,Russia,6
Morocco,Qatar,7
Morocco,Austria,6
Morocco,Greece,7
Morocco,Jordan,2
Morocco,Gibraltar,2
Morocco,Hungary,1
Morocco,Czech Republic,1
Morocco,Bahrain,1
Morocco,Malta,1
Morocco,Oman,1
Senegal,Guinea,20
Senegal,France,9
Senegal,United States,11
Senegal,Mauritania,7
Senegal,Cape Verde,6
Senegal,United Arab Emirates,3
Senegal,Italy,2
Senegal,Turkey,4
Senegal,Portugal,4
Senegal,Brazil,2
Mauritania,France,2
Mauritania,Guinea,2
Mauritania,Turkey,1
Guinea,France,2
Guinea,Portugal,2
Cape Verde,Portugal,18
Cape Verde,France,8
Cape Verde,United States,4
Cape Verde,Brazil,7
Cape Verde,Italy,2
Ethiopia,Saudi Arabia,20
Ethiopia,India,11
Ethiopia,China,14
Ethiopia,United Arab Emirates,9
Ethiopia,Lebanon,2
Ethiopia,Thailand,4
Ethiopia,Egypt,4
Ethiopia,France,2
Ethiopia,Tanzania,8
Ethiopia,Uganda,3
Ethiopia,Italy,4
Ethiopia,Somalia,4
Ethiopia,Hong Kong,2
Ethiopia,Djibouti,10
Ethiopia,South Sudan,4
Ethiopia,Rwanda,4
Ethiopia,Sudan,5
Ethiopia,Kuwait,5
Ethiopia,Kenya,14
Ethiopia,Oman,4
Ethiopia,Israel,2
Ethiopia,United States,4
Ethiopia,Bahrain,4
Ethiopia,Yemen,2
Ethiopia,Qatar,4
Ethiopia,Turkey,4
Ethiopia,Eritrea,3
Ethiopia,Burundi,2
Ethiopia,Russia,1
Ethiopia,Brazil,2
Ethiopia,South Korea,2
Ethiopia,Singapore,2
Ethiopia,Austria,2
Ethiopia,Namibia,2
Ethiopia,Greece,1
Ethiopia,Switzerland,2
Ethiopia,Philippines,1
Ethiopia,Indonesia,2
Ethiopia,Vietnam,1
Burundi,Kenya,9
Burundi,Rwanda,13
Burundi,Uganda,4
Burundi,Tanzania,1
Somalia,Djibouti,13
Somalia,Kenya,16
Somalia,United Arab Emirates,10
Somalia,Yemen,3
Somalia,Uganda,2
Egypt,Switzerland,28
Egypt,Israel,2
Egypt,France,10
Egypt,Libya,23
Egypt,Greece,8
Egypt,India,4
Egypt,Saudi Arabia,151
Egypt,Italy,35
Egypt,China,11
Egypt,Jordan,22
Egypt,Kuwait,46
Egypt,United Arab Emirates,24
Egypt,Cyprus,4
Egypt,Bahrain,6
Egypt,Austria,14
Egypt,Yemen,11
Egypt,Lebanon,6
Egypt,Thailand,6
Egypt,Eritrea,2
Egypt,Iraq,9
Egypt,Hungary,2
Egypt,Indonesia,2
Egypt,Tanzania,2
Egypt,Russia,22
Egypt,Qatar,8
Egypt,Uganda,2
Egypt,Turkey,21
Egypt,United States,6
Egypt,South Sudan,4
Egypt,Sudan,8
Egypt,Oman,5
Egypt,Kenya,5
Egypt,Kazakhstan,2
Egypt,Malta,1
Egypt,Japan,2
Egypt,Ukraine,1
Egypt,Romania,2
Egypt,Serbia,2
Egypt,Slovakia,1
Egypt,Czech Republic,5
Egypt,Armenia,2
Egypt,Georgia,2
Egypt,Lithuania,2
Egypt,Hong Kong,1
Egypt,Slovenia,1
Egypt,Rwanda,1
Kenya,South Sudan,4
Kenya,Tanzania,39
Kenya,India,6
Kenya,Rwanda,14
Kenya,France,5
Kenya,United Arab Emirates,19
Kenya,Thailand,6
Kenya,China,6
Kenya,Yemen,3
Kenya,South Korea,4
Kenya,Djibouti,4
Kenya,Uganda,12
Kenya,Saudi Arabia,6
Kenya,Sudan,4
Kenya,Switzerland,7
Kenya,Turkey,8
Kenya,Qatar,4
Kenya,Eritrea,2
Kenya,Italy,2
Kenya,United States,2
Kenya,Oman,1
Libya,Jordan,14
Libya,Turkey,16
Libya,Saudi Arabia,4
Libya,United Arab Emirates,2
Libya,Italy,4
Libya,Malta,7
Rwanda,Uganda,19
Rwanda,Turkey,3
Rwanda,Tanzania,4
Rwanda,United Arab Emirates,2
Rwanda,South Sudan,2
Rwanda,Qatar,2
Rwanda,India,1
Rwanda,Djibouti,1
Sudan,United Arab Emirates,21
Sudan,Bahrain,2
Sudan,Yemen,2
Sudan,Qatar,4
Sudan,Jordan,4
Sudan,Saudi Arabia,24
Sudan,South Sudan,6
Sudan,Turkey,4
Sudan,Eritrea,3
Sudan,Kuwait,1
Sudan,Syria,1
Sudan,Oman,1
South Sudan,United Arab Emirates,2
South Sudan,Uganda,6
South Sudan,Eritrea,1
Tanzania,United Arab Emirates,5
Tanzania,Uganda,9
Tanzania,Qatar,5
Tanzania,Turkey,5
Tanzania,Oman,2
Tanzania,Switzerland,2
Uganda,United Arab Emirates,3
Uganda,Qatar,2
Uganda,Turkey,3
Uganda,Eritrea,1
Uganda,Djibouti,1
Albania,Greece,4
Albania,Italy,66
Albania,Slovenia,2
Albania,Austria,3
Albania,Turkey,5
Albania,Serbia,1
Albania,Hungary,1
Albania,Czech Republic,2
Albania,France,2
Albania,Switzerland,2
Bulgaria,Greece,9
Bulgaria,France,7
Bulgaria,Italy,19
Bulgaria,Cyprus,9
Bulgaria,Russia,20
Bulgaria,Romania,6
Bulgaria,Czech Republic,8
Bulgaria,Israel,6
Bulgaria,Austria,8
Bulgaria,Switzerland,5
Bulgaria,Serbia,4
Bulgaria,Turkey,4
Bulgaria,United Arab Emirates,3
Bulgaria,Ukraine,3
Bulgaria,Iraq,2
Bulgaria,Qatar,2
Bulgaria,Hungary,1
Bulgaria,Slovakia,1
Bulgaria,Malta,1
Cyprus,Switzerland,14
Cyprus,Turkey,38
Cyprus,Moldova,2
Cyprus,Greece,30
Cyprus,Austria,8
Cyprus,France,6
Cyprus,Belarus,2
Cyprus,Latvia,3
Cyprus,United Arab Emirates,6
Cyprus,Lebanon,6
Cyprus,Romania,10
Cyprus,Russia,29
Cyprus,Israel,11
Cyprus,Malta,4
Cyprus,Lithuania,3
Cyprus,Bahrain,2
Cyprus,Serbia,4
Cyprus,Ukraine,14
Cyprus,Qatar,2
Cyprus,Jordan,3
Cyprus,Italy,4
Cyprus,Hungary,3
Cyprus,Czech Republic,3
Cyprus,Slovakia,3
Cyprus,Georgia,1
Croatia,France,27
Croatia,Switzerland,29
Croatia,Czech Republic,7
Croatia,Austria,16
Croatia,Greece,5
Croatia,Serbia,5
Croatia,Italy,16
Croatia,Turkey,6
Croatia,Bosnia and Herzegovina,4
Croatia,Macedonia,2
Croatia,Hungary,2
Croatia,Russia,8
Croatia,South Korea,2
Croatia,Qatar,2
Croatia,Portugal,2
Croatia,Israel,2
Croatia,Romania,2
France,Switzerland,58
France,Guadeloupe,17
France,Israel,29
France,Turkey,66
France,Moldova,4
France,Greece,87
France,Italy,344
France,Czech Republic,40
France,Georgia,5
France,United States,202
France,Malaysia,6
France,Austria,38
France,Jordan,4
France,United Arab Emirates,14
France,Serbia,13
France,Lebanon,10
France,Thailand,6
France,India,9
France,Colombia,2
France,Brazil,12
France,Hungary,16
France,China,31
France,French Guiana,6
France,Venezuela,2
France,Armenia,7
France,Argentina,4
France,Azerbaijan,4
France,Vietnam,12
France,Cuba,7
France,Hong Kong,6
France,Japan,14
France,South Korea,6
France,Saudi Arabia,10
France,Djibouti,2
France,Ukraine,6
France,Russia,33
France,Peru,4
France,Portugal,139
France,Slovenia,4
France,Mexico,10
France,Malta,25
France,Romania,25
France,Panama,2
France,Dominican Republic,18
France,Latvia,6
France,Chile,4
France,Singapore,4
France,Netherlands Antilles,15
France,Martinique,10
France,Belarus,4
France,Taiwan,4
France,Slovakia,2
France,Lithuania,7
France,Bahrain,2
France,Uzbekistan,4
France,Iran,3
France,Pakistan,5
France,Antigua and Barbuda,4
France,Qatar,5
France,Puerto Rico,2
France,Virgin Islands,2
France,Haiti,1
France,Sri Lanka,2
France,Oman,2
France,Montenegro,4
France,Costa Rica,2
France,Kazakhstan,1
France,Kuwait,1
France,Turkmenistan,1
France,Macedonia,3
France,Bosnia and Herzegovina,1
France,Ecuador,2
France,Maldives,2
Greece,Moldova,2
Greece,United Arab Emirates,7
Greece,Serbia,8
Greece,Hungary,8
Greece,Russia,60
Greece,Italy,68
Greece,Switzerland,64
Greece,Ukraine,15
Greece,Turkey,13
Greece,Romania,9
Greece,United States,8
Greece,Czech Republic,28
Greece,Georgia,4
Greece,Israel,12
Greece,Austria,110
Greece,Latvia,4
Greece,Qatar,6
Greece,Lithuania,8
Greece,Malta,5
Greece,Lebanon,4
Greece,Armenia,4
Greece,Jordan,4
Greece,Saudi Arabia,7
Greece,Portugal,4
Greece,Macedonia,1
Greece,China,2
Greece,Slovakia,8
Greece,Bahrain,1
Greece,Iraq,1
Greece,Singapore,2
Greece,Oman,1
Hungary,Italy,28
Hungary,Serbia,6
Hungary,Belarus,3
Hungary,Latvia,2
Hungary,Malta,5
Hungary,Switzerland,4
Hungary,Israel,5
Hungary,Czech Republic,6
Hungary,Austria,3
Hungary,Qatar,2
Hungary,Romania,3
Hungary,Russia,10
Hungary,Turkey,6
Hungary,Portugal,4
Hungary,United Arab Emirates,3
Hungary,Azerbaijan,2
Hungary,Ukraine,4
Hungary,China,4
Hungary,Jordan,1
Hungary,South Korea,3
Hungary,United States,3
Hungary,Georgia,1
Hungary,Bosnia and Herzegovina,1
Hungary,Macedonia,1
Hungary,Montenegro,1
Hungary,Kazakhstan,1
Hungary,Slovakia,2
Italy,Switzerland,102
Italy,Israel,23
Italy,Moldova,30
Italy,United States,116
Italy,Austria,86
Italy,Russia,101
Italy,Czech Republic,63
Italy,Argentina,4
Italy,Jordan,8
Italy,United Arab Emirates,19
Italy,Serbia,16
Italy,Lebanon,8
Italy,Romania,98
Italy,Portugal,49
Italy,Venezuela,3
Italy,Sri Lanka,8
Italy,India,9
Italy,Armenia,3
Italy,Brazil,11
Italy,Azerbaijan,8
Italy,South Korea,11
Italy,Iran,8
Italy,Turkey,34
Italy,Saudi Arabia,16
Italy,Ukraine,25
Italy,Japan,8
Italy,Kuwait,5
Italy,Malta,39
Italy,China,20
Italy,Latvia,18
Italy,Macedonia,9
Italy,Georgia,6
Italy,Montenegro,5
Italy,Belarus,4
Italy,Bangladesh,2
Italy,Mexico,6
Italy,Cuba,11
Italy,Dominican Republic,6
Italy,Qatar,10
Italy,Hong Kong,4
Italy,Slovakia,9
Italy,Lithuania,19
Italy,Uzbekistan,5
Italy,Bosnia and Herzegovina,2
Italy,Maldives,3
Italy,Pakistan,3
Italy,Singapore,4
Italy,Thailand,4
Italy,Oman,2
Italy,Chile,2
Italy,Taiwan,2
Slovenia,Turkey,4
Slovenia,Czech Republic,2
Slovenia,Serbia,5
Slovenia,Bosnia and Herzegovina,2
Slovenia,Macedonia,2
Slovenia,Russia,4
Slovenia,Montenegro,4
Slovenia,Austria,4
Slovenia,Switzerland,4
Czech Republic,Russia,63
Czech Republic,Belarus,4
Czech Republic,Latvia,5
Czech Republic,Slovakia,9
Czech Republic,United Arab Emirates,10
Czech Republic,Uzbekistan,3
Czech Republic,Azerbaijan,4
Czech Republic,Serbia,3
Czech Republic,South Korea,4
Czech Republic,Malta,4
Czech Republic,Lithuania,2
Czech Republic,Switzerland,8
Czech Republic,Israel,8
Czech Republic,Kazakhstan,3
Czech Republic,Romania,10
Czech Republic,Armenia,4
Czech Republic,Ukraine,8
Czech Republic,Austria,2
Czech Republic,Turkey,6
Czech Republic,Portugal,6
Czech Republic,China,6
Czech Republic,Georgia,2
Czech Republic,Jordan,1
Czech Republic,Qatar,2
Czech Republic,Lebanon,2
Czech Republic,United States,2
Israel,Georgia,7
Israel,United States,21
Israel,Belarus,2
Israel,Latvia,3
Israel,China,8
Israel,Austria,7
Israel,Uzbekistan,2
Israel,Jordan,4
Israel,Azerbaijan,2
Israel,Serbia,3
Israel,South Korea,2
Israel,Switzerland,10
Israel,Thailand,5
Israel,India,5
Israel,Russia,28
Israel,Hong Kong,4
Israel,Ukraine,17
Israel,Romania,17
Israel,Turkey,9
Israel,Lithuania,2
Israel,Moldova,1
Israel,Malta,1
Israel,Brazil,2
Israel,Portugal,3
Israel,Armenia,1
Malta,Austria,9
Malta,Latvia,3
Malta,United Arab Emirates,1
Malta,Lithuania,3
Malta,Russia,8
Malta,Switzerland,6
Malta,Turkey,8
Malta,Jordan,1
Malta,Slovakia,1
Malta,Serbia,2
Malta,Portugal,2
Malta,Ukraine,1
Malta,Qatar,2
Malta,Romania,2
Malta,Macedonia,1
Austria,Switzerland,27
Austria,Georgia,5
Austria,Jordan,7
Austria,Portugal,17
Austria,India,5
Austria,Belarus,5
Austria,Thailand,6
Austria,Latvia,5
Austria,China,9
Austria,Taiwan,5
Austria,United Arab Emirates,6
Austria,Turkey,41
Austria,Russia,34
Austria,Iran,4
Austria,Azerbaijan,4
Austria,Serbia,10
Austria,Kazakhstan,4
Austria,South Korea,2
Austria,Japan,6
Austria,Romania,18
Austria,Ukraine,23
Austria,Iraq,2
Austria,Armenia,6
Austria,United States,20
Austria,Moldova,3
Austria,Slovakia,2
Austria,Bosnia and Herzegovina,3
Austria,Macedonia,3
Austria,Montenegro,4
Austria,Lithuania,2
Austria,Qatar,2
Austria,Saudi Arabia,2
Austria,Maldives,2
Portugal,Moldova,2
Portugal,Switzerland,47
Portugal,United States,41
Portugal,United Arab Emirates,5
Portugal,Ukraine,5
Portugal,Russia,6
Portugal,Turkey,6
Portugal,Brazil,30
Portugal,Venezuela,6
Portugal,Romania,4
Portugal,Qatar,2
Portugal,Lithuania,2
Portugal,South Korea,2
Bosnia and Herzegovina,Serbia,6
Bosnia and Herzegovina,Switzerland,2
Bosnia and Herzegovina,Turkey,8
Bosnia and Herzegovina,United Arab Emirates,1
Bosnia and Herzegovina,Qatar,2
Romania,Moldova,6
Romania,United Arab Emirates,7
Romania,Serbia,4
Romania,Switzerland,6
Romania,Lebanon,4
Romania,Turkey,11
Romania,Qatar,2
Romania,Jordan,5
Romania,Russia,4
Romania,Ukraine,1
Romania,Armenia,2
Romania,Georgia,2
Switzerland,Turkey,32
Switzerland,Serbia,22
Switzerland,Macedonia,8
Switzerland,United States,70
Switzerland,India,8
Switzerland,Belarus,2
Switzerland,Latvia,3
Switzerland,China,7
Switzerland,Qatar,6
Switzerland,United Arab Emirates,16
Switzerland,South Korea,2
Switzerland,Thailand,4
Switzerland,Russia,16
Switzerland,Brazil,4
Switzerland,Cuba,4
Switzerland,Hong Kong,4
Switzerland,Ukraine,6
Switzerland,Japan,6
Switzerland,Dominican Republic,4
Switzerland,Singapore,6
Switzerland,Lebanon,2
Switzerland,Jordan,4
Switzerland,Saudi Arabia,5
Switzerland,Oman,4
Switzerland,Montenegro,2
Switzerland,Moldova,1
Switzerland,Azerbaijan,1
Switzerland,Kuwait,1
Switzerland,Argentina,2
Switzerland,Costa Rica,2
Switzerland,Maldives,2
Switzerland,Mexico,2
Switzerland,Slovakia,1
Turkey,Tajikistan,6
Turkey,Russia,86
Turkey,Ukraine,56
Turkey,Moldova,4
Turkey,Saudi Arabia,64
Turkey,India,13
Turkey,Belarus,5
Turkey,Latvia,4
Turkey,China,24
Turkey,United Arab Emirates,26
Turkey,Iran,35
Turkey,Afghanistan,8
Turkey,Singapore,6
Turkey,Bahrain,14
Turkey,Uzbekistan,11
Turkey,Azerbaijan,18
Turkey,Kuwait,15
Turkey,Serbia,13
Turkey,Kazakhstan,19
Turkey,South Korea,8
Turkey,Iraq,72
Turkey,Georgia,12
Turkey,Lebanon,8
Turkey,Malaysia,5
Turkey,Japan,8
Turkey,Qatar,15
Turkey,Kyrgyzstan,13
Turkey,Macedonia,4
Turkey,Jordan,10
Turkey,Turkmenistan,6
Turkey,Thailand,6
Turkey,Yemen,2
Turkey,Bangladesh,2
Turkey,Brazil,2
Turkey,Hong Kong,2
Turkey,United States,30
Turkey,Pakistan,6
Turkey,Djibouti,2
Turkey,Nepal,2
Turkey,Oman,7
Turkey,Maldives,2
Turkey,Montenegro,2
Turkey,Lithuania,2
Turkey,Armenia,1
Turkey,Eritrea,2
Turkey,Colombia,1
Turkey,Venezuela,2
Turkey,Indonesia,4
Turkey,Vietnam,5
Turkey,Cuba,1
Turkey,Slovakia,3
Turkey,Philippines,2
Turkey,Panama,2
Turkey,Taiwan,2
Turkey,Mexico,2
Moldova,Russia,14
Moldova,Ukraine,3
Moldova,Latvia,2
Moldova,United Arab Emirates,2
Moldova,Belarus,1
Macedonia,United Arab Emirates,2
Macedonia,Serbia,2
Macedonia,Qatar,2
Macedonia,Slovakia,1
Serbia,United Arab Emirates,7
Serbia,Russia,5
Serbia,Montenegro,8
Serbia,Belarus,1
Serbia,Slovakia,1
Serbia,Lebanon,1
Serbia,United States,1
Serbia,Qatar,2
Montenegro,Russia,20
Slovakia,Russia,2
Slovakia,Ukraine,3
Slovakia,United Arab Emirates,1
Turks and Caicos Islands,United States,38
Turks and Caicos Islands,Bahamas,7
Turks and Caicos Islands,Haiti,8
Turks and Caicos Islands,Jamaica,2
Turks and Caicos Islands,Dominican Republic,7
Turks and Caicos Islands,Puerto Rico,2
Turks and Caicos Islands,Antigua and Barbuda,2
Dominican Republic,Netherlands Antilles,16
Dominican Republic,Martinique,2
Dominican Republic,Guadeloupe,7
Dominican Republic,Argentina,7
Dominican Republic,United States,148
Dominican Republic,Aruba,5
Dominican Republic,Colombia,8
Dominican Republic,Peru,6
Dominican Republic,Puerto Rico,19
Dominican Republic,Antigua and Barbuda,8
Dominican Republic,Panama,8
Dominican Republic,Cuba,5
Dominican Republic,Costa Rica,2
Dominican Republic,Brazil,13
Dominican Republic,Venezuela,6
Dominican Republic,Jamaica,4
Dominican Republic,Chile,2
Dominican Republic,Haiti,8
Dominican Republic,Russia,8
Dominican Republic,Mexico,3
Dominican Republic,British Virgin Islands,1
Dominican Republic,Bahamas,1
Dominican Republic,Barbados,1
Guatemala,Mexico,10
Guatemala,Belize,5
Guatemala,Honduras,18
Guatemala,United States,42
Guatemala,Colombia,3
Guatemala,El Salvador,7
Guatemala,Costa Rica,7
Guatemala,Nicaragua,4
Guatemala,Panama,2
Honduras,Belize,4
Honduras,United States,44
Honduras,Mexico,2
Honduras,El Salvador,6
Honduras,Costa Rica,10
Honduras,Panama,4
Honduras,Cayman Islands,5
Jamaica,Netherlands Antilles,4
Jamaica,United States,98
Jamaica,Antigua and Barbuda,2
Jamaica,Barbados,2
Jamaica,Bahamas,2
Jamaica,Trinidad and Tobago,2
Jamaica,Panama,5
Jamaica,Cuba,3
Jamaica,Cayman Islands,3
Jamaica,Guyana,2
Jamaica,Peru,2
Mexico,Colombia,20
Mexico,United States,905
Mexico,Cuba,19
Mexico,Costa Rica,10
Mexico,Belize,5
Mexico,Venezuela,2
Mexico,Panama,18
Mexico,Argentina,4
Mexico,Brazil,8
Mexico,Peru,11
Mexico,El Salvador,10
Mexico,Chile,6
Mexico,Ecuador,5
Mexico,Japan,6
Mexico,China,5
Mexico,Russia,2
Mexico,Australia,1
Mexico,South Korea,2
Mexico,Nicaragua,2
Nicaragua,Costa Rica,8
Nicaragua,United States,14
Nicaragua,Panama,4
Nicaragua,El Salvador,7
Nicaragua,Venezuela,1
Panama,Costa Rica,15
Panama,Venezuela,15
Panama,United States,70
Panama,Haiti,4
Panama,Trinidad and Tobago,4
Panama,Colombia,28
Panama,El Salvador,4
Panama,Paraguay,2
Panama,Aruba,3
Panama,Brazil,18
Panama,Argentina,10
Panama,Netherlands Antilles,4
Panama,Ecuador,7
Panama,Cuba,8
Panama,Peru,6
Panama,Uruguay,2
Panama,Bahamas,2
Panama,Chile,2
Panama,Puerto Rico,2
Panama,Bolivia,2
Panama,Barbados,2
Panama,Belize,2
Panama,Guyana,2
Panama,Suriname,2
Costa Rica,United States,91
Costa Rica,Colombia,2
Costa Rica,Peru,4
Costa Rica,El Salvador,6
El Salvador,United States,68
El Salvador,Colombia,7
El Salvador,Belize,2
El Salvador,Ecuador,4
El Salvador,Peru,2
El Salvador,Cuba,4
Haiti,Netherlands Antilles,4
Haiti,United States,32
Haiti,Guadeloupe,4
Haiti,Cuba,4
Haiti,Bahamas,2
Cuba,Colombia,7
Cuba,Venezuela,9
Cuba,Argentina,2
Cuba,Martinique,2
Cuba,Bahamas,4
Cuba,Russia,7
Cuba,Ecuador,2
Cuba,Cayman Islands,2
Cuba,Peru,6
Cuba,Suriname,1
Cuba,United States,16
Cuba,Trinidad and Tobago,1
Cuba,Guadeloupe,1
Cayman Islands,United States,41
Cayman Islands,Bahamas,2
Bahamas,United States,161
Bahamas,Saint Kitts and Nevis,1
Belize,United States,26
Cook Islands,French Polynesia,4
Cook Islands,New Zealand,7
Cook Islands,United States,4
Cook Islands,Australia,2
Fiji,United States,14
Fiji,Hong Kong,4
Fiji,New Zealand,14
Fiji,Samoa,3
Fiji,Australia,23
Fiji,Kiribati,6
Fiji,Tuvalu,2
Fiji,Tonga,5
Fiji,Vanuatu,7
Fiji,Solomon Islands,6
Fiji,South Korea,2
Fiji,New Caledonia,2
Fiji,Wallis and Futuna,2
Fiji,Japan,2
Fiji,Singapore,2
Fiji,Nauru,1
Tonga,New Zealand,4
Tonga,Australia,2
Kiribati,United States,4
Kiribati,Nauru,2
Kiribati,Marshall Islands,2
Kiribati,Solomon Islands,1
Wallis and Futuna,New Caledonia,2
Samoa,United States,2
Samoa,New Zealand,5
Samoa,Australia,4
American Samoa,United States,2
French Polynesia,New Zealand,8
French Polynesia,United States,17
French Polynesia,Japan,4
French Polynesia,Chile,2
French Polynesia,New Caledonia,2
Vanuatu,Solomon Islands,6
Vanuatu,New Zealand,4
Vanuatu,Australia,14
Vanuatu,New Caledonia,4
New Caledonia,New Zealand,4
New Caledonia,Australia,9
New Caledonia,Japan,4
New Zealand,Australia,174
New Zealand,China,15
New Zealand,Hong Kong,7
New Zealand,Singapore,12
New Zealand,United States,21
New Zealand,South Korea,2
New Zealand,Chile,4
New Zealand,Malaysia,2
New Zealand,Japan,8
New Zealand,Niue,2
New Zealand,Norfolk Island,1
New Zealand,Thailand,4
New Zealand,United Arab Emirates,1
New Zealand,Argentina,2
New Zealand,Taiwan,2
New Zealand,Philippines,1
New Zealand,Qatar,2
Afghanistan,India,16
Afghanistan,United Arab Emirates,15
Afghanistan,Pakistan,9
Afghanistan,Iran,11
Afghanistan,Azerbaijan,2
Afghanistan,Kuwait,2
Afghanistan,Tajikistan,1
Afghanistan,China,1
Afghanistan,Saudi Arabia,2
Afghanistan,Russia,1
Afghanistan,Uzbekistan,1
Bahrain,India,22
Bahrain,Qatar,22
Bahrain,United Arab Emirates,32
Bahrain,Jordan,4
Bahrain,Lebanon,2
Bahrain,Iraq,6
Bahrain,Thailand,6
Bahrain,Saudi Arabia,22
Bahrain,Iran,7
Bahrain,Pakistan,14
Bahrain,Kuwait,11
Bahrain,Oman,7
Bahrain,Philippines,4
Bahrain,Yemen,4
Bahrain,Sri Lanka,5
Bahrain,Bangladesh,1
Bahrain,Russia,1
Bahrain,Azerbaijan,1
Bahrain,Georgia,1
Bahrain,Syria,1
Bahrain,Cambodia,1
Saudi Arabia,Djibouti,1
Saudi Arabia,Bangladesh,16
Saudi Arabia,United Arab Emirates,103
Saudi Arabia,India,108
Saudi Arabia,Kuwait,37
Saudi Arabia,Brunei,2
Saudi Arabia,Hong Kong,4
